,AMZN,AMZN,AMZN,AMZN,AMZN,EKSO,EKSO,EKSO,EKSO,EKSO,SPLK,SPLK,SPLK,SPLK,SPLK,AAPL,AAPL,AAPL,AAPL,AAPL,BPMC,BPMC,BPMC,BPMC,BPMC,CRM,CRM,CRM,CRM,CRM
,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-02,1465.199951171875,1553.3599853515625,1460.9300537109375,1539.1300048828125,7983100,18.75,21.719999313354492,18.75,21.299999237060547,17973,102.0,104.70999908447266,101.70999908447266,103.31999969482422,1566800,37.645791997755516,38.60826594473341,37.48537905515474,38.38222885131836,148158800,52.7599983215332,53.5,50.2599983215332,51.18000030517578,335800,133.39999389648438,136.8300018310547,133.0500030517578,135.5500030517578,4783900
2019-01-03,1520.010009765625,1538.0,1497.1099853515625,1500.280029296875,6975600,21.299999237060547,24.299999237060547,20.549999237060547,23.399999618530273,22027,101.55000305175781,103.30999755859375,99.48999786376953,100.80999755859375,2057500,34.99413354337193,35.417039408081145,34.51289839292835,34.559078216552734,365248800,51.209999084472656,51.5,48.28499984741211,48.70000076293945,287000,133.47999572753906,134.77999877929688,130.10000610351562,130.39999389648438,6365700
2019-01-04,1530.0,1594.0,1518.31005859375,1575.3900146484375,9182600,23.399999618530273,27.450000762939453,22.770000457763672,24.899999618530273,32860,102.68000030517578,109.5199966430664,101.55999755859375,108.04000091552734,3127000,35.127800526909944,36.10485656643827,34.95037615467531,36.03437042236328,234428400,49.7599983215332,53.619998931884766,49.0099983215332,53.47999954223633,256900,133.5,139.32000732421875,132.22000122070312,137.9600067138672,6650600
2019-01-07,1602.31005859375,1634.56005859375,1589.18994140625,1629.510009765625,7993200,24.75,24.75,23.549999237060547,24.0,7013,109.08000183105469,113.45999908447266,108.19000244140625,112.9000015258789,2072300,36.14131864899585,36.17291614726135,35.46078196716281,35.95417022705078,219111200,59.0,63.279998779296875,59.0,61.040000915527344,964300,141.02000427246094,143.38999938964844,138.7899932861328,142.22000122070312,9064800
2019-01-08,1664.68994140625,1676.6099853515625,1616.6099853515625,1656.5799560546875,8881400,24.75,25.094999313354492,22.649999618530273,22.950000762939453,14053,114.4800033569336,115.91000366210938,111.25,115.08999633789062,2401900,36.350336180999875,36.89962821158196,36.09756735113881,36.639564514160156,164101200,62.0,63.505001068115234,59.43000030517578,62.52000045776367,649800,144.72999572753906,146.4600067138672,142.88999938964844,145.72000122070312,9057300
2019-01-09,1652.97998046875,1667.800048828125,1641.4000244140625,1659.4200439453125,6348800,23.25,23.549999237060547,22.5,23.25,8467,115.01000213623047,116.58999633789062,113.87000274658203,115.91000366210938,1876200,36.77081305229335,37.55829167986005,36.36735528273668,37.26177215576172,180396400,62.72999954223633,63.7599983215332,61.27299880981445,61.630001068115234,545400,146.88999938964844,147.5,144.52999877929688,145.99000549316406,5445900
2019-01-10,1641.010009765625,1663.25,1621.6199951171875,1656.219970703125,6507700,23.100000381469727,23.100000381469727,22.350000381469727,22.950000762939453,10633,115.04000091552734,116.94999694824219,113.58000183105469,116.69999694824219,1443500,37.06490315381702,37.42218481205541,36.666303687917754,37.38086700439453,143122800,61.18000030517578,64.3499984741211,59.72999954223633,64.2699966430664,281000,143.77000427246094,147.2100067138672,143.75999450683594,147.0399932861328,5116900
2019-01-11,1640.550048828125,1660.2900390625,1636.219970703125,1640.56005859375,4686200,22.950000762939453,23.100000381469727,22.350000381469727,22.950000762939453,10787,116.0,117.86000061035156,115.0,117.16999816894531,1655700,37.157264075097416,37.3565619606385,36.82428503467414,37.01386260986328,108092800,64.1500015258789,65.31999969482422,62.97999954223633,64.43000030517578,254300,146.55999755859375,148.02999877929688,145.61000061035156,147.5500030517578,5185200
